Food,Categories
soft cheese,Dairy & Eggs
mayonnaise,"Oils, Condiments & Sauces"
dental care,Household Supplies and Non-Food Items
kitchen towels,Household Supplies and Non-Food Items
flower soil/fertilizer,Household Supplies and Non-Food Items
cereals,Breads & Grains
cherrios,Breads & Grains
cocoa pops,Breads & Grains
crunchy nuts,Breads & Grains
weetabix,Breads & Grains
meat spreads,Pantry & Dry Goods
dishes,Household Supplies and Non-Food Items
male cosmetics,Household Supplies and Non-Food Items
candles,Household Supplies and Non-Food Items
whisky,Beverages
liqueur,Beverages
abrasive cleaner,Household Supplies and Non-Food Items
syrup,"Oils, Condiments & Sauces"
ketchup,"Oils, Condiments & Sauces"
cream,Dairy & Eggs
skin care,Household Supplies and Non-Food Items
nut snack,Snacks & Sweets
cocoa drinks,Beverages
softener,Household Supplies and Non-Food Items
cake bar,Snacks & Sweets
jam,Pantry & Dry Goods
kitchen utensil,Household Supplies and Non-Food Items
flower (seeds),Household Supplies and Non-Food Items
canned chickpeas,Pantry & Dry Goods
canned tuna (oil),Pantry & Dry Goods
canned sardines,Pantry & Dry Goods
Canned pineapples,Pantry & Dry Goods
canned peaches,Pantry & Dry Goods
Tomato paste,Pantry & Dry Goods
peanut butter,Pantry & Dry Goods
Almond butter,Pantry & Dry Goods
Jam (strawberry),Pantry & Dry Goods
Honey jar,Pantry & Dry Goods
Maple syrup,Pantry & Dry Goods
Golden syrup,Pantry & Dry Goods
Dry chickpeas,Pantry & Dry Goods
Black beans (dry),Pantry & Dry Goods
red split lentils,Pantry & Dry Goods
Brown sugar,Pantry & Dry Goods
Icing sugar,Pantry & Dry Goods
Sugar (granulated),Pantry & Dry Goods
Sugar cubes,Pantry & Dry Goods
Bicarbonate of soda,Pantry & Dry Goods
Bread flour,Pantry & Dry Goods
Cajun seasoning,Pantry & Dry Goods
Chilli flakes,Pantry & Dry Goods
Ground cumin,Pantry & Dry Goods
Fresh spinach leaves,Produce
Organic kale bunch,Produce
Romaine lettuce hearts,Produce
Baby carrots,Produce
Red bell peppers,Produce
Seedless grapes,Produce
Broccoli crowns,Produce
Cauliflower florets,Produce
Shitake mushrooms,Produce
Red onions,Produce
White onions,Produce
Russet potatoes,Produce
Fresh ginger root,Produce
Garlic bulbs,Produce
Fresh dill,Produce
Coriander bunch,Produce
Green apples,Produce
Satsumas,Produce
Ripe bananas,Produce
Watermelon slices,Produce
Mixed salad greens,Produce
Wholewheat bread loaf,Breads & Grains
Multigrain sandwich bread,Breads & Grains
Sliced bread,Breads & Grains
Brioche buns,Breads & Grains
Hot dog rolls,Breads & Grains
Hamburger buns,Breads & Grains
Whole grain tortillas,Breads & Grains
Baguette,Breads & Grains
Ciabatta rolls,Breads & Grains
Seeded rolls,Breads & Grains
Saltine crackers,Breads & Grains
Oat biscuits,Breads & Grains
Wild rice blend,Breads & Grains
Bulgur wheat,Breads & Grains
Bran cereal,Breads & Grains
Muesli mix,Breads & Grains
Low-fat milk,Dairy & Eggs
Soy milk,Dairy & Eggs
Almond milk,Dairy & Eggs
Half-half,Dairy & Eggs
Sour cream,Dairy & Eggs
Gouda cheese,Dairy & Eggs
Swiss cheese slices,Dairy & Eggs
Feta cheese,Dairy & Eggs
Goat cheese log,Dairy & Eggs
Ghee,Dairy & Eggs
Buttermilk,Dairy & Eggs
Egg carton (12-pack),Dairy & Eggs
Liquid egg whites,Dairy & Eggs
Sparkling mineral water,Beverages
Kombucha,Beverages
Peach iced tea,Beverages
Milk tea bottle,Beverages
Isotonic drink,Beverages
Cherry cola,Beverages
Potato chips,Snacks & Sweets
Cheese puffs,Snacks & Sweets
Chocolate chip cookies,Snacks & Sweets
Oatmeal cookies,Snacks & Sweets
Gummy bears,Snacks & Sweets
Hard mints,Snacks & Sweets
Sour tummies,Snacks & Sweets
Granola bars,Snacks & Sweets
Peanut brittle,Snacks & Sweets
Rice cakes,Snacks & Sweets
Yogurt rasins,Snacks & Sweets
Dishwashing liquid,Household Supplies and Non-Food Items
Dishwasher tablets,Household Supplies and Non-Food Items
Laundry detergent,Household Supplies and Non-Food Items
Fabric softener,Household Supplies and Non-Food Items
Paper towels,Household Supplies and Non-Food Items
Toilet paper,Household Supplies and Non-Food Items
Trash bags,Household Supplies and Non-Food Items
Disinfectant spray,Household Supplies and Non-Food Items
Multi-surface cleaner,Household Supplies and Non-Food Items
Glass cleaner,Household Supplies and Non-Food Items
Bleach,Household Supplies and Non-Food Items
Bar soap,Household Supplies and Non-Food Items
Hand soap,Household Supplies and Non-Food Items
Toothpaste,Household Supplies and Non-Food Items
Toothbrush pack,Household Supplies and Non-Food Items
Mouthwash,Household Supplies and Non-Food Items
Shaving cream,Household Supplies and Non-Food Items
Razors,Household Supplies and Non-Food Items
Cotton pads,Household Supplies and Non-Food Items
Batteries ,Household Supplies and Non-Food Items
Sponges pack,Household Supplies and Non-Food Items
Rubber gloves,Household Supplies and Non-Food Items
Food containers,Household Supplies and Non-Food Items
Napkins,Household Supplies and Non-Food Items
