Food,Categories
ham,"meat, poultry and seafood"
curd cheese,"dairy, eggs and cheese products"
red/blush wine,beverages
frozen potato products,frozen products
flour,"breads, grains, pasta, rice and pastries"
sugar,"pantry- dry, canned and jarred goods"
frozen meals,frozen products
herbs,fresh produce (vegetables and herbs)
soda,beverages
detergent,household supplies and non-food items
processed cheese,"dairy, eggs and cheese products"
fish,"meat, poultry and seafood"
sparkling wine,beverages
newspapers,household supplies and non-food items
curd,"dairy, eggs and cheese products"
popcorn,sweet and savoury snacks and treats
beverages,beverages
bottled beer,beverages
dessert,sweet and savoury snacks and treats
dog food,household supplies and non-food items
pet food,household supplies and non-food items
cat food,household supplies and non-food items
specialty chocolate,sweet and savoury snacks and treats
condensed milk,"dairy, eggs and cheese products"
cleaner,household supplies and non-food items
white wine,beverages
ice cream,frozen products
hard cheese,"dairy, eggs and cheese products"
liquor,beverages
pickled vegetables,"pantry- dry, canned and jarred goods"
candy,sweet and savoury snacks and treats
cookies,sweet and savoury snacks and treats
sweets,sweet and savoury snacks and treats
pringles,sweet and savoury snacks and treats
hair spray,household supplies and non-food items
photo/film,household supplies and non-food items
domestic eggs,"dairy, eggs and cheese products"
margarine,"dairy, eggs and cheese products"
shopping bags,household supplies and non-food items
salt,"pantry- dry, canned and jarred goods"
oil,"oils, sauces, condiments and spices"
whipped/sour cream,"dairy, eggs and cheese products"
frozen vegetables,frozen products
sliced cheese,"dairy, eggs and cheese products"
dish cleaner,household supplies and non-food items
baking powder,"pantry- dry, canned and jarred goods"
specialty cheese,"dairy, eggs and cheese products"
salty snack,sweet and savoury snacks and treats
instant food products,"ready meals, sandwiches, soups and misc."
pet care,household supplies and non-food items
white bread,"breads, grains, pasta, rice and pastries"
female sanitary products,household supplies and non-food items
cling film/bags,household supplies and non-food items
soap,household supplies and non-food items
house keeping products,household supplies and non-food items
spread cheese,"dairy, eggs and cheese products"
decalcifier,household supplies and non-food items
tinfoil,household supplies and non-food items
washing up liquid,household supplies and non-food items
frozen dessert,frozen products
vinegar,"oils, sauces, condiments and spices"
hp sauce,"oils, sauces, condiments and spices"
bbq sauce,"oils, sauces, condiments and spices"
nuts,sweet and savoury snacks and treats
frozen fish,frozen products
hygiene articles,household supplies and non-food items
shower gel,household supplies and non-food items
body wash,household supplies and non-food items
body lotion,household supplies and non-food items
shampoo,household supplies and non-food items
conditioner,household supplies and non-food items
deodorant,household supplies and non-food items
artif. sweetener,"pantry- dry, canned and jarred goods"
light bulbs,household supplies and non-food items
vegetables,"pantry- dry, canned and jarred goods"
chewing gum,sweet and savoury snacks and treats
cookware,household supplies and non-food items
bread,"breads, grains, pasta, rice and pastries"
bathroom cleaner,household supplies and non-food items
prosecco,beverages
fruit,"pantry- dry, canned and jarred goods"
frozen fruits,frozen products
brandy,beverages
baby cosmetics,household supplies and non-food items
spices,"oils, sauces, condiments and spices"
napkins,household supplies and non-food items
waffles,"breads, grains, pasta, rice and pastries"
sauces,"oils, sauces, condiments and spices"
chocolate marshmallow,sweet and savoury snacks and treats
long life bakery product,"breads, grains, pasta, rice and pastries"
bags,household supplies and non-food items
sweet spreads,"pantry- dry, canned and jarred goods"
soups,"ready meals, sandwiches, soups and misc."
mustard,"oils, sauces, condiments and spices"
instant coffee,beverages
snack products,sweet and savoury snacks and treats
organic sausage,"meat, poultry and seafood"
soft cheese,"dairy, eggs and cheese products"
mayonnaise,"oils, sauces, condiments and spices"
dental care,household supplies and non-food items
kitchen towels,household supplies and non-food items
flower soil/fertilizer,household supplies and non-food items
cereals,"breads, grains, pasta, rice and pastries"
cherrios,"breads, grains, pasta, rice and pastries"
cocoa pops,"breads, grains, pasta, rice and pastries"
crunchy nuts,"breads, grains, pasta, rice and pastries"
weetabix,"breads, grains, pasta, rice and pastries"
meat spreads,"pantry- dry, canned and jarred goods"
dishes,household supplies and non-food items
male cosmetics,household supplies and non-food items
candles,household supplies and non-food items
whisky,beverages
liqueur,beverages
abrasive cleaner,household supplies and non-food items
syrup,"oils, sauces, condiments and spices"
ketchup,"oils, sauces, condiments and spices"
skin care,household supplies and non-food items
nut snack,sweet and savoury snacks and treats
cocoa drinks,beverages
softener,household supplies and non-food items
cake bar,sweet and savoury snacks and treats
jam,"pantry- dry, canned and jarred goods"
kitchen utensil,household supplies and non-food items
flower (seeds),household supplies and non-food items
